,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.12748718,0.10228698,0.1266,0.13008788,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
1,0.12735648,0.10200741,0.12624021,0.12959594,0.11010942,0.110075265,0.11003918,0.110337794,0.11004738,0.11064954,0.11000081,0.11,0.1100082
2,0.12722486,0.10173022,0.1258766,0.12909867,0.110219814,0.11015291,0.11007458,0.110681444,0.11009075,0.11130098,0.11000217,0.11,0.11001977
3,0.12708977,0.101455696,0.1255094,0.12859619,0.11033126,0.11023198,0.1101146,0.11102751,0.11013449,0.11195295,0.1100033,0.11,0.110028505
4,0.1269531,0.101184234,0.12513821,0.12808838,0.110443026,0.110311456,0.11015286,0.11137841,0.11017816,0.11260609,0.11000454,0.11,0.110037394
5,0.12681463,0.10091543,0.12476436,0.127576,0.11055588,0.110392824,0.11019155,0.11173302,0.11022361,0.113259785,0.11000636,0.11,0.11004636
6,0.12667406,0.100649625,0.124386616,0.1270576,0.11066915,0.11047584,0.110231645,0.11209147,0.11026867,0.113913596,0.11000944,0.11,0.1100563
7,0.126532,0.100386634,0.12400585,0.12653422,0.11078335,0.1105601,0.11027095,0.11245317,0.11031499,0.114567995,0.110011,0.11,0.11006507
8,0.1263875,0.10012724,0.12362211,0.12600647,0.11089803,0.11064527,0.11031104,0.112818755,0.11036205,0.11522245,0.11001251,0.11,0.11007396
9,0.12624156,0.09987082,0.12323555,0.12547413,0.11101389,0.11073189,0.110352114,0.113187745,0.1104095,0.11587618,0.11001406,0.11,0.11008287
10,0.12609363,0.09961728,0.1228464,0.12493649,0.11113007,0.11081964,0.1103934,0.11355993,0.110457234,0.116529584,0.110015854,0.11,0.11009148
11,0.12594311,0.09936771,0.12245503,0.12439559,0.111246884,0.11090877,0.11043463,0.11393528,0.110505156,0.117182136,0.11001747,0.11000001,0.1101004
12,0.12579104,0.09912093,0.1220608,0.12384972,0.11136435,0.110999376,0.11047667,0.11431318,0.11055303,0.11783381,0.11001833,0.110000014,0.11010911
13,0.12563609,0.09887765,0.12166447,0.12330029,0.11148271,0.11109139,0.11051887,0.11469472,0.11060156,0.11848439,0.11001968,0.110000014,0.11011773
14,0.12548037,0.09863834,0.12126625,0.122746766,0.11160165,0.111184865,0.11056087,0.11507879,0.110650234,0.119133316,0.11002173,0.110000014,0.11012664
15,0.1253228,0.09840211,0.120865665,0.12218965,0.111720875,0.111279845,0.11060385,0.11546514,0.11069977,0.11978073,0.11002322,0.110000014,0.110134706
16,0.1251625,0.098169655,0.12046422,0.12162902,0.11184133,0.111375846,0.11064688,0.11585378,0.11075025,0.12042593,0.11002532,0.110000014,0.11014261
17,0.12500106,0.09794089,0.120060354,0.121065214,0.11196171,0.11147362,0.110690385,0.116244815,0.110800594,0.12106923,0.11002727,0.110000014,0.11015111
18,0.124837585,0.09771582,0.1196557,0.12049853,0.11208277,0.11157294,0.110733755,0.1166378,0.11085135,0.12170996,0.110029265,0.110000014,0.11015932
19,0.12467199,0.09749434,0.11924922,0.11992875,0.11220424,0.11167332,0.110777855,0.11703281,0.110902205,0.12234842,0.11003052,0.110000014,0.110167205
20,0.12450448,0.09727694,0.1188423,0.119356506,0.11232663,0.11177557,0.110822275,0.11742968,0.11095361,0.12298406,0.11003176,0.110000014,0.11017534
21,0.1243352,0.09706302,0.11843443,0.11878194,0.11244943,0.11187898,0.110866845,0.11782756,0.11100557,0.12361665,0.11003339,0.110000014,0.11018338
22,0.12416456,0.09685348,0.11802602,0.118205234,0.1125726,0.11198389,0.11091165,0.11822723,0.11105784,0.12424535,0.11003469,0.110000014,0.11019144
23,0.123991914,0.09664769,0.11761739,0.1176268,0.112696074,0.112090394,0.11095697,0.118627876,0.11111018,0.12487119,0.11003632,0.110000014,0.11019904
