,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.19629505,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,0.19527338,0.09945256,0.09977363,0.09941982,0.099425234,0.099415876,0.09940326,0.09940422,0.09940031,0.099403426,0.0994012,0.099408194,0.099401735
2,0.19423422,0.09890972,0.09957269,0.098844156,0.09885527,0.0988333,0.0988095,0.09881084,0.09880349,0.098810665,0.09880599,0.09881771,0.09880681
3,0.19317654,0.09836941,0.099397466,0.09827197,0.09828766,0.09825556,0.098218165,0.098220766,0.09820989,0.09822083,0.098214336,0.09823016,0.09821459
4,0.19209845,0.09783295,0.09924972,0.097704016,0.09772428,0.097683206,0.09762966,0.097634315,0.09762001,0.09763784,0.09762623,0.097645216,0.0976251
5,0.19099997,0.09729989,0.09913091,0.09713945,0.09716436,0.09711485,0.09704457,0.09705144,0.0970329,0.09705717,0.09704164,0.097063445,0.09703907
6,0.18987837,0.09677008,0.0990418,0.096579604,0.096608214,0.09655015,0.096463025,0.09647117,0.09644958,0.09648241,0.09646055,0.096485324,0.096456416
7,0.18873319,0.09624411,0.09898438,0.09602277,0.09605536,0.095987834,0.09588489,0.0958946,0.09586885,0.09590844,0.095882945,0.09591116,0.095877744
8,0.18756336,0.095720835,0.098959595,0.09546987,0.09550621,0.09542951,0.09530989,0.09532222,0.0952919,0.09533543,0.0953088,0.09534097,0.095302954
9,0.18636768,0.09520118,0.09896901,0.09492048,0.09496065,0.094874494,0.09473884,0.09475406,0.09471807,0.09476792,0.09473809,0.09477419,0.09473159
10,0.1851437,0.09468459,0.09901389,0.09437475,0.094417736,0.094323635,0.09417039,0.09418795,0.0941477,0.094202735,0.0941708,0.094210066,0.094163634
11,0.18388958,0.09417129,0.09909602,0.09383326,0.0938791,0.09377659,0.09360477,0.0936244,0.09358053,0.0936411,0.093606904,0.09364927,0.09359841
12,0.18260573,0.09366092,0.09921732,0.09329538,0.09334294,0.09323311,0.093042076,0.09306405,0.093017444,0.09308405,0.09304638,0.09309128,0.09303599
13,0.18129008,0.09315368,0.099378295,0.09276088,0.09281067,0.09269309,0.09248216,0.09250584,0.09245737,0.09253355,0.09248922,0.09253647,0.09247703
14,0.17994025,0.09264938,0.099581204,0.0922305,0.09228126,0.092156544,0.09192499,0.09195047,0.09189997,0.091983445,0.091935396,0.091984615,0.09192074
15,0.17855579,0.09214778,0.09982769,0.091703035,0.09175504,0.0916238,0.091370806,0.09139762,0.09134522,0.091434464,0.09138489,0.09143609,0.09136772
16,0.17713407,0.0916494,0.10011931,0.091179326,0.091232106,0.091094196,0.09081897,0.09084867,0.0907934,0.090891235,0.09083768,0.09089074,0.09081774
17,0.17567389,0.09115356,0.10045761,0.090659514,0.09071205,0.09056806,0.09027054,0.09030298,0.09024437,0.0903497,0.090293735,0.090348296,0.09027053
18,0.1741746,0.090660416,0.100843646,0.09014251,0.090195216,0.09004562,0.0897245,0.08976068,0.08969819,0.08981395,0.089753054,0.08980883,0.08972668
19,0.17263399,0.09017033,0.101279706,0.08962947,0.08968109,0.08952653,0.089181356,0.08922024,0.08915524,0.089279525,0.089215614,0.08927195,0.08918575
20,0.17105146,0.08968281,0.10176722,0.08911979,0.08916973,0.08901076,0.08864045,0.08868248,0.08861495,0.0887485,0.08868139,0.08873758,0.08864735
21,0.16942452,0.08919752,0.102306366,0.088613555,0.08866121,0.088498,0.08810225,0.08814802,0.0880775,0.088221356,0.08815037,0.088206284,0.088111974
22,0.16775355,0.088714756,0.10289994,0.08811043,0.088155694,0.08798872,0.08756642,0.08761677,0.087543234,0.08769873,0.08762252,0.08767698,0.08757957
23,0.16603564,0.08823478,0.103548296,0.08761074,0.08765276,0.08748268,0.087032855,0.0870883,0.08701191,0.087177366,0.08709784,0.087150514,0.08704944
24,0.16427146,0.0877572,0.10425282,0.08711445,0.08715264,0.086979784,0.086501956,0.086561315,0.08648333,0.08666014,0.0865763,0.08662704,0.08652238
25,0.16245912,0.087281555,0.10501416,0.08662143,0.086654685,0.086480066,0.085973084,0.086037405,0.08595715,0.086147025,0.08605788,0.08610553,0.08599742
26,0.16059786,0.086808205,0.105833694,0.08613137,0.08615954,0.085983105,0.08544649,0.085516386,0.08543336,0.085635796,0.08554256,0.08558637,0.08547538
27,0.15868723,0.0863374,0.10671098,0.085644804,0.085666865,0.085489854,0.084921815,0.08499839,0.08491253,0.0851289,0.08503033,0.08506963,0.08495591
28,0.15672748,0.08586858,0.10764736,0.0851612,0.08517656,0.08499926,0.08439949,0.084482566,0.084394455,0.08462451,0.08452117,0.08455522,0.08443876
29,0.15471765,0.0854016,0.10864281,0.0846803,0.084688775,0.084511705,0.08387895,0.08396929,0.08387942,0.084124476,0.08401506,0.08404264,0.08392409
30,0.15265876,0.08493656,0.10969704,0.084203236,0.084203005,0.08402678,0.08336026,0.08345799,0.08336591,0.083626926,0.08351197,0.08353257,0.08341204
31,0.15055017,0.08447353,0.110809766,0.08372866,0.083719276,0.08354518,0.08284387,0.08294969,0.0828549,0.08313323,0.0830119,0.083024465,0.082902454
32,0.14839332,0.08401231,0.111980416,0.083256945,0.0832378,0.0830662,0.08232953,0.082444,0.08234688,0.08264242,0.08251483,0.082518056,0.08239493
33,0.1461887,0.08355302,0.113208145,0.082788765,0.08275882,0.08259052,0.08181637,0.0819402,0.08184102,0.08215525,0.08202073,0.08201363,0.08188954
34,0.14393689,0.08309521,0.11449154,0.082323425,0.08228148,0.08211692,0.08130528,0.08143872,0.08133751,0.08167125,0.08152959,0.08151132,0.0813866
35,0.14164053,0.08263959,0.11582969,0.08186033,0.08180584,0.08164653,0.08079596,0.08094023,0.08083699,0.08119071,0.08104139,0.081010304,0.08088602
36,0.13930184,0.08218536,0.11722014,0.0814004,0.081332624,0.0811785,0.08028807,0.08044349,0.080338284,0.08071354,0.08055612,0.080511376,0.08038744
37,0.13692097,0.081732236,0.11866142,0.080943376,0.08086073,0.08071338,0.07978158,0.079949,0.079842016,0.08023964,0.080073744,0.080014706,0.07989102
38,0.13450238,0.08128114,0.12015034,0.08048929,0.08039097,0.08025089,0.079277016,0.07945673,0.07934796,0.079769135,0.07959426,0.07951865,0.0793972
39,0.13204707,0.08083119,0.12168519,0.080037564,0.07992246,0.079790905,0.078773625,0.07896739,0.07885595,0.079302,0.079117656,0.07902489,0.07890452
40,0.12956056,0.08038279,0.123261794,0.0795885,0.07945614,0.07933324,0.07827192,0.07847942,0.078366965,0.07883807,0.078643896,0.078532055,0.078414194
41,0.12704383,0.07993543,0.12487809,0.079142176,0.07899146,0.078878395,0.077771574,0.077993706,0.07787928,0.07837738,0.07817298,0.07804043,0.07792591
42,0.124502055,0.07948945,0.12652995,0.07869876,0.07852761,0.07842589,0.07727211,0.07751012,0.07739399,0.07792001,0.07770488,0.07755105,0.077439435
43,0.121938825,0.07904482,0.12821333,0.07825786,0.0780661,0.07797625,0.07677419,0.07702884,0.0769109,0.077465646,0.07723958,0.07706302,0.07695471
44,0.11935773,0.078601226,0.1299246,0.07781935,0.07760608,0.07752901,0.07627752,0.07654954,0.07642978,0.077015236,0.07677707,0.07657597,0.0764721
45,0.116763525,0.078159004,0.13165964,0.07738381,0.07714723,0.07708369,0.07578194,0.07607221,0.07595087,0.07656735,0.07631733,0.076090455,0.0759911
46,0.11416128,0.07771765,0.13341543,0.07695025,0.07668932,0.07664121,0.07528721,0.07559706,0.07547413,0.076123185,0.075860344,0.07560586,0.075512215
47,0.11155472,0.077277794,0.13518564,0.07651957,0.07623317,0.07620096,0.074794196,0.07512362,0.074999355,0.07568225,0.07540609,0.07512299,0.07503528
48,0.10894978,0.07683849,0.13696665,0.076091535,0.07577804,0.07576333,0.074301966,0.07465236,0.074526004,0.0752445,0.074954554,0.07464092,0.07455978
49,0.10635027,0.07640086,0.13875458,0.07566605,0.07532464,0.07532805,0.0738107,0.07418282,0.07405521,0.074809626,0.074505724,0.07416073,0.07408583
50,0.103760846,0.075963706,0.14054501,0.07524242,0.074872635,0.07489515,0.07332088,0.07371488,0.07358622,0.07437778,0.07405959,0.07368142,0.0736142
51,0.101187885,0.075527295,0.14233351,0.074821524,0.07442198,0.07446462,0.07283196,0.073249266,0.07311918,0.07394959,0.07361612,0.07320354,0.07314403
52,0.09863547,0.07509233,0.14411576,0.07440331,0.07397217,0.07403691,0.0723442,0.0727851,0.07265412,0.07352389,0.07317531,0.072726876,0.07267552
53,0.096108414,0.07465858,0.14588796,0.07398749,0.073523685,0.07361178,0.07185718,0.07232336,0.07219067,0.07310163,0.07273713,0.072251216,0.07220897
54,0.093614794,0.07422558,0.14764608,0.07357409,0.07307633,0.07318855,0.07137143,0.07186303,0.07172914,0.072682165,0.07230158,0.07177762,0.07174439
55,0.09115327,0.07379336,0.14938633,0.073163696,0.0726308,0.0727685,0.0708869,0.07140442,0.07126968,0.07226551,0.071868636,0.071304955,0.07128123
56,0.08873098,0.073362224,0.15110554,0.07275551,0.07218626,0.07235052,0.07040334,0.07094743,0.070812024,0.07185191,0.07143828,0.070834264,0.07081953
57,0.086351275,0.07293235,0.15280047,0.072349444,0.0717432,0.07193513,0.06992065,0.07049279,0.07035596,0.07144116,0.071010515,0.07036461,0.070360236
58,0.08402021,0.07250322,0.1544683,0.07194659,0.0713011,0.0715229,0.06943968,0.07003923,0.06990208,0.071033105,0.0705853,0.0698965,0.06990236
59,0.0817402,0.07207478,0.15610585,0.07154594,0.07086058,0.07111261,0.06895963,0.069587484,0.069449894,0.07062625,0.07016264,0.069430254,0.06944689
60,0.079512,0.071648024,0.15771085,0.07114792,0.07042154,0.0707054,0.0684807,0.06913737,0.068999276,0.07022308,0.0697425,0.0689659,0.068992615
61,0.0773409,0.07122199,0.1592819,0.07075247,0.06998388,0.07030102,0.06800264,0.068689,0.06855095,0.069821775,0.06932488,0.06850248,0.06854001
62,0.07523222,0.07079721,0.16081597,0.070359714,0.06954784,0.06989947,0.06752589,0.06824223,0.068104036,0.06942301,0.068909764,0.068041414,0.06808988
63,0.07318154,0.070372954,0.1623119,0.0699692,0.06911275,0.06950074,0.06705065,0.067796975,0.06765925,0.06902523,0.068497136,0.06758195,0.06764173
64,0.07119404,0.06994998,0.16376849,0.06958184,0.06867951,0.06910481,0.06657634,0.067353025,0.067215964,0.0686296,0.068086974,0.067124836,0.067195006
65,0.069269896,0.06952738,0.16518362,0.06919704,0.06824799,0.06871178,0.06610389,0.06691097,0.06677415,0.068235874,0.06767927,0.066669874,0.066750556
